weather,temperature,pollution,Facilities
,,,105193536
,,,1717685
,,,31125
,,,4883554
1.0,3.0,177.0,743680
,,,131584880
,,,280904370
,,,2940192
,,,30295
,,,3819660
1.0,3.0,177.0,103669490
,,,104248
,,,29526687
,,,328680
,,,121844
,,,5801700
1.0,3.0,177.0,9528400
,,,11974410
,,,4868780
,,,280611380
,,,20740455
1.0,4.0,177.0,4161039
,,,535682
,,,34405824
,,,46124470
,,,1162581
,,,380804
,,,306768
,,,194469
,,,350592
,,,69135680
,,,400392
,,,875069
,,,207500
,,,111718
,,,27355389
,,,54282
,,,35706600
,,,262695
,,,221285834
,,,49219
1.0,3.5,177.0,2188245615
,,,179612
,,,454923
,,,25730
,,,65736
,,,1130626
,,,50796
,,,267426
,,,423964
,,,91217
,,,833652
1.0,3.0,177.0,113034048
,,,3778907
,,,7513160
,,,531200
1.0,3.0,177.0,186803535
,,,373526892
,,,1837620
,,,30295
,,,1782508
,,,131783250
,,,521240
1.0,3.0,177.0,28670841
,,,821700
,,,243688
1.0,3.0,177.0,6497904
,,,7146300
,,,9123360
,,,4347125
1.0,3.0,177.0,537268130
,,,18435960
,,,4405806
,,,382630
,,,45157644
1.0,3.0,177.0,52306100
,,,996498
,,,73621
,,,285603
,,,128650
,,,204512
,,,160854
,,,129646
,,,438240
,,,154281728
,,,700686
,,,1413573
,,,249000
,,,335154
,,,20180205
,,,37599
,,,36188
,,,23804400
,,,262695
1.0,3.0,177.0,215538150
,,,49219
1.0,3.0,177.0,4049089596
,,,17596
,,,44903
,,,454923
,,,38595
,,,1292144
,,,48389
,,,50796
,,,89142
,,,211982
,,,833652
,,,99966528
,,,1374148
,,,62250
,,,12960201
,,,27888
,,,849920
,,,145683260
1.0,3.0,177.0,344677254
,,,3675240
,,,2037152
,,,108062265
,,,625488
1.0,3.0,177.0,53918298
,,,575190
,,,121844
,,,126907
,,,7658244
,,,5240620
,,,11974410
,,,4347125
1.0,3.0,177.0,923964300
,,,23505849
,,,5874408
,,,382630
1.0,3.0,177.0,40319325
1.0,3.0,177.0,48977530
,,,664332
,,,147242
,,,761608
,,,128650
,,,613536
,,,80427
,,,518584
,,,219120
1.0,3.0,177.0,161559168
,,,500490
,,,1077008
,,,373500
,,,167577
